Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.54050802,-149.89978,V19,V19,V39,J18,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.27,26.74,2326.363311,8.047761646494683,0.2,0.7,0.33,0.44
Varari,-17.54050802,-149.89978,V19,V19,V39,J18,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.52,27.95,2317.13505,8.097793619633375,0.22,1.1,0.38,0.15
Varari,-17.54050802,-149.89978,V19,V19,V39,J18,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.44,26.91,2348.306475,8.023562909331607,0.19,0.81,0.26,0.08
Varari,-17.54050802,-149.89978,V19,V19,V39,J18,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.63,27.03,2369.352141,8.043691724817853,0.19,1.29,0.23,0.14
Varari,-17.54045103,-149.899509,V20,V20,V40,J19,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.29,27.69,2345.449179,8.062492340171266,0.2,1.77,0.46,0.26
Varari,-17.54045103,-149.899509,V20,V20,V40,J19,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.39,27.01,2322.825798,8.046247490095418,0.19,0.75,0.38,0.43
Varari,-17.54045103,-149.899509,V20,V20,V40,J19,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.48,28.33,2316.749816,8.076789592611668,0.27,1.88,0.61,0.22
Varari,-17.54045103,-149.899509,V20,V20,V40,J19,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.49,26.97,2415.148268,7.997115220980386,0.19,0.95,0.34,0.11
Varari,-17.54045103,-149.899509,V20,V20,V40,J19,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.16,2363.766285,8.021214574772221,0.19,1.07,0.32,0.23
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,29.44,27,2833.929859,7.743366251015313,1.07,164.27,12.7,1.1
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-06,19:00:00,2021-08-06T19:00:00Z,Low,Night,36.07,27.62,2388.442656,7.877820317913151,0.27,3.97,0.9,0.24
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,34.06,26.55,2570.178384,7.894334953789883,0.52,62.53,4.08,0.41
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-04,18:45:00,2021-08-04T18:45:00Z,Low,Night,33.84,26.97,2526.410657,8.003796855776102,0.43,61.8,4.15,0.58
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-04,23:51:00,2021-08-04T23:51:00Z,High,Night,35.86,26.47,2381.156393,8.037785890596718,0.2,3.03,0.35,0.4
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-05,02:51:00,2021-08-05T02:51:00Z,Mid,Night,36.05,26.35,2355.901122,7.987618960212664,0.25,6.11,0.64,0.44
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-05,06:45:00,2021-08-05T06:45:00Z,Low,Day,33.65,26.1,2570.64039,7.881108296500005,0.51,79.11,4.33,0.43
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-05,08:51:00,2021-08-05T08:51:00Z,Mid,Day,34.93,26.08,2458.693077,7.955610232389934,0.33,41.25,1.99,0.27
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.17,27.84,2361.47628,8.02557819305926,0.22,5.16,0.4,0.43
Varari,-17.540302,-149.899331,VSEEP,VSEEP,NA,NA,Seep,2021-08-06,08:30:00,2021-08-06T08:30:00Z,Mid,Day,36.01,26.56,2402.134778,7.999342584499668,0.2,3.66,0.65,0.39
Cabral,-17.517048,-149.912693,C1,C1,C21,NA,Plate,2021-08-09,07:00:00,2021-08-09T07:00:00Z,Low,Day,36.13,26.49,2330.112996,7.837551743946843,0.23,5.65,0.55,0.39
Cabral,-17.517048,-149.912693,C1,C1,C21,NA,Plate,2021-08-09,13:00:00,2021-08-09T13:00:00Z,High,Day,36.17,27.57,2326.486827,8.03537128960004,0.21,4.67,0.38,0.16
Cabral,-17.517048,-149.912693,C1,C1,C21,NA,Plate,2021-08-09,01:10:00,2021-08-09T01:10:00Z,High,Night,36.17,27.2,2362.354403,7.946314094805779,0.17,6.09,0.08,0.02
Cabral,-17.517048,-149.912693,C1,C1,C21,NA,Plate,2021-08-09,19:00:00,2021-08-09T19:00:00Z,Low,Night,35.9,27.64,2312.326304,8.011478840828161,0.13,3.51,0.11,0.02
Cabral,-17.51706904,-149.912949,C2,C2,C22,NA,Plate,2021-08-09,07:00:00,2021-08-09T07:00:00Z,Low,Day,36.1,26.49,2321.697004,7.854174136881854,0.22,7.49,0.39,0.54
Cabral,-17.51706904,-149.912949,C2,C2,C22,NA,Plate,2021-08-09,13:00:00,2021-08-09T13:00:00Z,High,Day,36.18,27.57,2294.598471,8.081070623380878,0.23,4.42,0.42,0.22
Cabral,-17.51706904,-149.912949,C2,C2,C22,NA,Plate,2021-08-09,01:10:00,2021-08-09T01:10:00Z,High,Night,36.16,27.2,2370.08551,7.965783717050146,0.23,15.83,0.5,0.03
