date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_drift.corr,Sp_Conductance.1pcal,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-15T10:20:10Z,44414.5,29.73,318,54192.27439063158,104.655,29.652,0.287,876,1.04655,0.3157894736842105,54192.59018010527,54.19259018010527,32.3818870635107
2021-01-15T10:20:20Z,44438.8,29.66,318,54221.923993074306,104.502,29.752,0.272,876,1.04502,0.3163265306122449,54222.24031960492,54.22224031960492,32.448780068220614
2021-01-15T10:20:30Z,44404.1,29.69,318,54179.58484884539,104.606,29.752,0.282,876,1.04606,0.31686358754027927,54179.90171243293,54.17990171243294,32.40018364010721
2021-01-15T10:20:40Z,44359.1,29.69,318,54124.678177655165,104.485,29.752,0.27,876,1.04485,0.3174006444683136,54124.99557829963,54.12499557829963,32.36330314250189
2021-01-15T10:20:50Z,44411,29.68,318,54188.00387176123,104.64,29.752,0.285,876,1.0464,0.317937701396348,54188.32180946263,54.18832180946263,32.41255029098988
2021-01-15T10:21:00Z,44435.3,29.71,318,54217.65347420396,104.657,29.752,0.287,876,1.04657,0.3184747583243824,54217.97194896228,54.21797194896228,32.41233729787015
2021-01-15T10:21:10Z,44397.2,29.7,318,54171.16582592956,104.175,29.752,0.239,876,1.04175,0.31901181525241673,54171.48483774481,54.171484837744806,32.38782511270272
2021-01-15T10:21:20Z,44414.5,29.69,318,54192.27439063158,104.313,29.752,0.253,876,1.0431300000000001,0.31954887218045114,54192.593939503764,54.192593939503766,32.408710806933136
2021-01-15T10:21:30Z,44217.5,29.71,318,53951.90518564325,104.278,29.752,0.249,876,1.04278,0.3200859291084855,53952.22527157236,53.95222527157236,32.23394914672434
2021-01-15T10:21:40Z,44424.9,29.71,318,54204.96393241777,104.778,29.752,0.299,876,1.0477800000000002,0.3206229860365199,54205.28455540381,54.20528455540381,32.40381675896359
2021-01-15T10:21:50Z,44418,29.79,318,54196.544909501936,104.141,29.752,0.236,876,1.0414100000000002,0.32116004296455425,54196.8660695449,54.1968660695449,32.34459460871305
2021-01-15T10:22:00Z,44386.8,29.75,318,54158.47628414338,104.296,29.752,0.251,876,1.04296,0.3216970998925886,54158.79798124327,54.15879798124327,32.34582066913569
2021-01-15T10:22:10Z,44397.2,29.73,318,54171.16582592956,104.261,29.752,0.248,876,1.04261,0.322234156820623,54171.488060086376,54.171488060086375,32.36772435996114
2021-01-15T10:22:20Z,44369.5,29.71,318,54137.367719441354,104.313,29.752,0.253,876,1.0431300000000001,0.32277121374865736,54137.690490655106,54.13769049065511,32.358431103718885
2021-01-15T10:22:30Z,44331.4,29.74,318,54090.88007116696,104.347,29.752,0.256,876,1.04347,0.3233082706766917,54091.20337943764,54.091203379437644,32.30716106907715
2021-01-15T10:22:40Z,44397.2,29.69,318,54171.16582592956,104.502,29.752,0.272,876,1.04502,0.3238453276047261,54171.489671257164,54.17148967125716,32.394533067954704
2021-01-15T10:22:50Z,44400.6,29.75,318,54175.314329975045,104.227,29.752,0.244,876,1.04227,0.32438238453276047,54175.63871235958,54.17563871235958,32.357119018430204
2021-01-15T10:23:00Z,44397.2,29.74,318,54171.16582592956,104.468,29.752,0.268,876,1.04468,0.3249194414607948,54171.49074537102,54.17149074537102,32.361029396001264
2021-01-15T10:23:10Z,44383.3,29.73,318,54154.20576527303,104.606,29.752,0.282,876,1.04606,0.32545649838882923,54154.531221771416,54.154531221771414,32.35634270503197
