Date,CowTagID,SeepCode,Tide,Day_Night,SamplingTime,Salinity,pH,TempInSitu,TA,Notes
8/9/2021,C5,NA,High,Day,13:00:00,36.34,8.061787385463742,27.6,2318.556808,NA
8/9/2021,C15,NA,High,Day,13:00:00,36.26,8.07988155948271,27.45,2307.477973,NA
8/9/2021,C13,NA,High,Day,13:00:00,36.12,8.0690313229905275,27.6,2257.212691,NA
8/9/2021,C11,NA,High,Day,13:00:00,36.27,8.052661638594968,27.88,2321.585477,NA
8/9/2021,C8,NA,High,Day,13:00:00,36.18,8.066410568654517,27.72,2328.092245,NA
8/9/2021,C10,NA,High,Day,13:00:00,36.24,8.064817779138096,27.79,2316.020239,NA
8/9/2021,C9,NA,High,Day,13:00:00,36.27,8.067012629709941,27.53,2339.634365,NA
8/9/2021,C2,NA,High,Day,13:00:00,36.18,8.081071135628202,27.57,2294.598471,TempInSitu taken from C1
8/9/2021,C7,NA,High,Day,13:00:00,36.27,8.061058347292269,27.43,2326.879723,NA
8/9/2021,C14,NA,High,Day,13:00:00,36.28,8.059177114289513,27.77,2289.657979,NA
8/9/2021,CSEEP,E,Low,Day,07:00:00,30.06,7.841750605702615,26.9,2284.325233,NA
8/9/2021,CSEEP,F,Mid,Day,10:00:00,35.71,7.9338898506527515,26.97,2302.3354,NA
8/9/2021,CSPRING,NA,High,Day,13:00:00,2.819,6.889190326330394,23.89,1746.199674,"HgCl bottle, has filtered counterpart, CRM 1.06% Land Sample"
8/8/2021,V20,NA,Low,Night,18:30:00,36.48,8.076786968432812,28.33,2316.749816,Bottle
8/8/2021,VSEEP,J,Low,Night,18:30:00,29.44,7.743361952307488,27,2833.929859,Bottle
8/5/2021,Varari_Well,NA,NA,Day,NA,9.735,7.800536221382422,25.95,5377.549655,"Refridgerated, CRM 1.06% (bottle 2)"
8/5/2021,Varari_Well,NA,NA,Day,NA,9.671,7.734810098164607,25.95,5377.936753,"Refridgerated, CRM 1.06% (bottle (3)"
8/9/2021,C3,NA,Low,Night,19:00:00,36.12,7.987079015508157,27.62,2305.413099,NA
8/9/2021,C18,NA,Low,Night,19:00:00,35.99,8.004600224399539,27.7,2311.484276,NA
8/9/2021,C16,NA,Low,Night,19:00:00,35.96,8.00161750782751,27.66,2276.492556,NA
8/9/2021,C19,NA,Low,Night,19:00:00,36.13,7.98684098865389,27.66,2306.758841,NA
8/9/2021,C8,NA,Low,Night,19:00:00,35.98,8.003459485121528,27.76,2312.706907,NA
8/9/2021,C5,NA,Low,Night,19:00:00,35.81,8.02606520906865,27.54,2295.946839,NA
8/9/2021,C6,NA,Low,Night,19:00:00,36.17,8.039277499109165,27.55,2314.273847,NA
8/9/2021,C17,NA,Low,Night,19:00:00,36.1,8.013563247798938,27.73,2263.189772,NA
8/9/2021,C1,NA,Low,Night,19:00:00,35.9,8.011477666382827,27.64,2312.326304,NA
8/9/2021,C4,NA,Low,Night,19:00:00,36.08,8.010907876160818,28.54,2288.776312,NA
8/9/2021,C9,NA,Low,Night,19:00:00,36.25,8.03517342421211,27.62,2306.082345,NA
8/9/2021,C13,NA,Low,Night,19:00:00,35.3,7.961202889476732,27.54,2245.939872,NA
8/9/2021,C10,NA,Low,Night,19:00:00,36.04,8.001578207107572,27.9,2290.405857,NA
8/9/2021,C2,NA,Low,Night,19:00:00,36.01,7.995094939403993,27.64,2259.851026,TempInSitu taken from C1
8/9/2021,C20,NA,Low,Night,19:00:00,36.15,8.018133937573513,27.83,2290.804761,NA
8/9/2021,C11,NA,Low,Night,19:00:00,36.17,8.017419700173,28.02,2333.475013,NA
8/9/2021,CSEEP,G,High,Day,13:00:00,36.18,8.032461109743416,27.55,2319.275838,bag
8/9/2021,CSEEP,H,Mid,Day,16:10:00,35.49,8.051976645065878,27.83,2278.06445,NA
8/9/2021,CSEEP,I,Low,Night,19:00:00,31.23,7.946682795914771,27.55,2305.105825,NA
8/9/2021,CSEEP,J,Mid,Night,22:20:00,35.54,7.939129401429433,27.42,2331.098909,NA
8/10/2021,CSEEP,K,High,Night,01:20:00,35.71,7.913868391833875,26.96,2330.321073,NA
8/10/2021,CSEEP,L,Mid,Night,04:20:00,35.46,7.86806860792443,26.59,2313.733001,NA
8/10/2021,C7,NA,Low,Day,07:00:00,36.26,8.000087223552105,27.17,2355.022306,bottle
8/10/2021,C14,NA,Low,Day,07:00:00,36.11,7.9073374643175685,26.76,2306.582317,bottle
8/10/2021,C15,NA,Low,Day,07:00:00,36.21,7.919872665015688,26.78,2292.997625,bottle
8/10/2021,CSEEP,M,Low,Day,07:00:00,32.75,7.869188854927283,26.47,2306.726303,bottle
