Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-07-15 06:12:00,22.52,0, , , , , 
2022-07-15 06:14:00,22.52,0, , , , , 
2022-07-15 06:16:00,22.52,0, , , , , 
2022-07-15 06:18:00,22.48,0, , , , , 
2022-07-15 06:20:00,22.52,0, , , , , 
2022-07-15 06:22:00,22.48,0, , , , , 
2022-07-15 06:24:00,22.43,0, , , , , 
2022-07-15 06:26:00,22.48,1, , , , , 
2022-07-15 06:28:00,22.43,1, , , , , 
2022-07-15 06:30:00,22.39,1, , , , , 
2022-07-15 06:32:00,22.43,1, , , , , 
2022-07-15 06:34:00,22.39,2, , , , , 
2022-07-15 06:36:00,22.39,2, , , , , 
2022-07-15 06:38:00,22.35,3, , , , , 
2022-07-15 06:40:00,22.31,4, , , , , 
2022-07-15 06:42:00,22.35,4, , , , , 
2022-07-15 06:44:00,22.31,5, , , , , 
2022-07-15 06:46:00,22.26,5, , , , , 
2022-07-15 06:48:00,22.26,6, , , , , 
2022-07-15 06:50:00,22.26,7, , , , , 
2022-07-15 06:52:00,22.18,7, , , , , 
2022-07-15 06:54:00,22.18,8, , , , , 
2022-07-15 06:56:00,22.13,8, , , , , 
2022-07-15 06:58:00,22.09,9, , , , , 
2022-07-15 07:00:00,22.13,10, , , , , 
2022-07-15 07:02:00,22.09,10, , , , , 
2022-07-15 07:04:00,22.05,11, , , , , 
2022-07-15 07:06:00,22.05,11, , , , , 
2022-07-15 07:08:00,22.01,12, , , , , 
2022-07-15 07:10:00,22.01,12, , , , , 
2022-07-15 07:12:00,22.01,12, , , , , 
2022-07-15 07:14:00,22.01,13, , , , , 
2022-07-15 07:16:00,21.96,13, , , , , 
2022-07-15 07:18:00,21.96,14, , , , , 
2022-07-15 07:20:00,21.96,14, , , , , 
2022-07-15 07:22:00,21.96,14, , , , , 
2022-07-15 07:24:00,21.96,15, , , , , 
2022-07-15 07:26:00,21.96,15, , , , , 
2022-07-15 07:28:00,21.92,16, , , , , 
2022-07-15 07:30:00,21.92,16, , , , , 
2022-07-15 07:32:00,21.92,16, , , , , 
2022-07-15 07:34:00,21.92,16, , , , , 
2022-07-15 07:36:00,21.92,16, , , , , 
2022-07-15 07:38:00,21.92,17, , , , , 
2022-07-15 07:40:00,21.92,17, , , , , 
2022-07-15 07:42:00,21.92,18, , , , , 
2022-07-15 07:44:00,21.96,18, , , , , 
2022-07-15 07:46:00,22.01,18, , , , , 
2022-07-15 07:48:00,21.96,18, , , , , 
2022-07-15 07:50:00,21.96,18, , , , , 
2022-07-15 07:52:00,22.01,19, , , , , 
2022-07-15 07:54:00,22.01,19, , , , , 
2022-07-15 07:56:00,22.01,19, , , , , 
2022-07-15 07:58:00,22.05,20, , , , , 
2022-07-15 08:00:00,22.05,20, , , , , 
2022-07-15 08:02:00,22.09,20, , , , , 
2022-07-15 08:04:00,22.05,20, , , , , 
2022-07-15 08:06:00,22.09,20, , , , , 
2022-07-15 08:08:00,22.13,21, , , , , 
2022-07-15 08:10:00,22.18,21, , , , , 
2022-07-15 08:12:00,22.18,21, , , , , 
2022-07-15 08:14:00,22.18,22, , , , , 
2022-07-15 08:16:00,22.22,22, , , , , 
2022-07-15 08:18:00,22.22,23, , , , , 
2022-07-15 08:20:00,22.26,23, , , , , 
2022-07-15 08:22:00,22.26,23, , , , , 
2022-07-15 08:24:00,22.31,24, , , , , 
2022-07-15 08:26:00,22.35,24, , , , , 
2022-07-15 08:28:00,22.39,24, , , , , 
2022-07-15 08:30:00,22.35,24, , , , , 
2022-07-15 08:32:00,22.43,24, , , , , 
2022-07-15 08:34:00,22.43,24, , , , , 
2022-07-15 08:36:00,22.43,25, , , , , 
2022-07-15 08:38:00,22.48,24, , , , , 
2022-07-15 08:40:00,22.52,24, , , , , 
2022-07-15 08:42:00,22.56,27, , , , , 
2022-07-15 08:44:00,22.56,42, , , , , 
2022-07-15 08:46:00,22.56,46, , , , , 
2022-07-15 08:48:00,22.69,32, , , , , 
